param_set_hash,ifvg_tolerance_ticks,rr_cap,cisd_lookback_bars,wr,avg_rr,max_dd_usd,profit_factor,sharpe,trades_count,composite_score,rank
03aeff7d71a66a09c1a9c17e632b7737659db863c14f7fb7e013ef8482350115,2,1.3,20,0.3670212765957447,0.22563120567375886,9088.0000,1.4517750639023004,0.03341420218998752,188,-999.0,1
1d9f16fe3b6e0ed1660146683fdf933653efc49c82eb64408916eae47895ccb6,2,1.2,20,0.3776595744680851,0.22015602836879433,9292.000,1.4496234067207416,0.03258557232057856,188,-999.0,2
22480b17d72edc6afc3771f2961b2a6007995994601e19e5ec311c872801c761,2,1.1,10,0.34146341463414637,0.1352642276422764,16187.0000,1.27579776212184,0.018770103253402597,164,-999.0,3
266c9d93a4f6b3470a249a9e21e5873c73dc0f9259d60165661cef8359e65bce,2,1.2,15,0.3712871287128713,0.3242904290429043,11288.000,1.708946608946609,0.040668953260033516,202,-999.0,4
494115313ad5910490f7e674b48fd0c59e5cec82722ae69e8271bf04c6acf8c9,1,1.3,15,0.3383838383838384,0.008922558922558924,15788.0000,1.0181805708013172,0.0057493315564833706,198,-999.0,5
502721d10edb81cc091450725fdd4bc20266e8bdbda4294ec1ec478b6e98d29c,1,1.1,10,0.34782608695652173,-0.02876190476190476,16645.0000,0.9422945916756666,-0.0038170428724302713,161,-999.0,6
567e1717bb8d36649f250783c662c71e28bae2bfdd4fc156bdc4486e890287cd,0,1.3,10,0.3246753246753247,0.009125541125541132,15570.5000,1.017103448275862,0.005253680381725747,154,-999.0,7
6cec112fccaf0ee77bf850203058ae6607816bd3d46eda4c8882c30847d97bd6,0,1.3,15,0.3439153439153439,0.07757319223985891,13380.5000,1.1553217035101349,0.019669312142360135,189,-999.0,8
737994e78bdc2a40b8b6e50027202569df009f11f7d8dd29672476a0a0b39dea,1,1.1,20,0.3891891891891892,0.0069045045045045125,8556.0000,1.0145305627180343,0.00485479651356101,185,-999.0,9
76fc66ebbc0e73f04c575170a54a40e7358309a0be0b8b65d43549627097a340,1,1.2,10,0.32919254658385094,-0.040322981366459634,18169.000,0.9217517075130575,-0.006098924867263856,161,-999.0,10
79f8e199c9486f8f152c28a80a5d9b6feac073b95214c24aa68c0a8d9e23bbcf,2,1.1,15,0.37623762376237624,0.3067458745874587,11916.5000,1.677088948787062,0.03873624898060544,202,-999.0,11
7adb5861f26a210ee0c793f4f9aeafe6648ba32fa07e1bda093b0e7a26954ae8,2,1.2,10,0.3353658536585366,0.14834146341463414,15882.000,1.2991637973438268,0.02010377057650191,164,-999.0,12
7c2f45fbeb3e1a9078b78bc20fb4984b2702343b0e88639629eae100bc1a9f57,1,1.3,20,0.3621621621621622,0.012100900900900905,10522.0000,1.0242244986293465,0.006371345324320441,185,-999.0,13
8ddfb8f2c8fc9845e5737a1790fe55c4f43f04c6c25e409de420c16eb5537487,2,1.3,10,0.3231707317073171,0.1456747967479675,15836.5000,1.2868715978226064,0.019682594524705305,164,-999.0,14
947ddee7d9b55112a5322a4561d40a294f4442b297bd5f1cacca0dfadcd2c5a6,2,1.3,15,0.36633663366336633,0.339983498349835,10659.5000,1.7352962169878658,0.04251041121734047,202,-999.0,15
9776ed0f59c4512f3f77d79d8e40dff6caf791846e1bb8f49d02c78f064d8cc6,1,1.3,10,0.32298136645962733,-0.02894824016563147,18140.0000,0.9444320801208171,-0.0032256534647212547,161,-999.0,16
9b5461e3503c233840b70e192c384a786e88ea05f797aeebb6b13b95168e58a4,0,1.2,10,0.33766233766233766,0.013411255411255414,13814.000,1.025733034305175,0.006073393736830186,154,-999.0,17
9e3c0a3eeffd09996af9098489c12ad52c99c485a18a4a445b7e93b983f552ab,0,1.1,10,0.35714285714285715,0.028844155844155856,12370.0000,1.05738523813625,0.009276042649286933,154,-999.0,18
a31de719f66f734c18a64eda3dfbe6b6fe8afdb86660948d8a4ab2562dde5d3b,1,1.2,20,0.3675675675675676,-0.006753153153153158,11798.000,0.9863599970885799,0.0009166109237036906,185,-999.0,19
a68bc22ca3a020a152504d1f0487b460dbbc2d2bfb2a3f61518709351c5f530a,0,1.3,20,0.3563218390804598,0.024655172413793103,10382.0000,1.0481193449487773,0.009249944238577371,174,-999.0,20
bcd8a73807515dd353325093821e84c798659ecf4e8a9389c56929561ff6d78d,0,1.2,15,0.3492063492063492,0.06343562610229277,13980.000,1.1282464522570064,0.0169282853054053,189,-999.0,21
c044db925d4abd48c640d7a44da503a5b72fd3b388964f18bdaf66ec7328658d,1,1.1,15,0.35858585858585856,-0.003468013468013463,16391.0000,0.992654924053341,0.0023964094820393797,198,-999.0,22
d2386d74b8863b4e72b339cbec6c235295bee67d47859ba96359959a9c20fcdd,0,1.2,20,0.367816091954023,0.019854406130268194,11318.000,1.0395059846001373,0.008094800927617718,174,-999.0,23
d94fae9e895528f7215497aecfc94b2ed4256de4a7dde5e9168eee353ef68fc2,0,1.1,15,0.37037037037037035,0.08108641975308642,13018.0000,1.1708509847640283,0.020833424004613903,189,-999.0,24
e62bcc04345c2dde46fc5303c9f78a2ec5679f804b2d88d3204ca1a9bffdb08f,0,1.1,20,0.39080459770114945,0.038919540229885065,10815.0000,1.0809466889792014,0.013097132618293102,174,-999.0,25
